Basin	Parameter	nYrs	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Gulf_of_Riga	HEAT	1									1.092084422																	1.249254758																																						0.949253054		1.102478053	0.879791243	1.047975142	1.22571019	0.778864119	1.190942713	0.999288822	0.922105356	1.59117418	1.612985487	1.346119421	1.434297187	1.944245183	1.338151567	1.553517284	0.988346319	1.44325439	1.232541201	1.841472667	2.615670769	1.464872996	1.632090803	1.327454617	1.433627948	1.958295328	1.600780423	2.015269533	1.836663499	2.05086211	2.134819213	2.256899771	1.03602495	1.727044057	1.819698833	1.427676205	2.124495171	2.332259353	2.186124448	1.555305643	2.176486461	2.370696342	1.626681695	2.187405129	1.329712071	1.609824209			
Gulf_of_Riga	HEAT	5																																																																1.025865553	0.977174117	0.994874373	1.063988657	1.006963749	1.024656682	1.048556197	1.02338224	1.096475038	1.263299312	1.294334653	1.381336326	1.585764292	1.535159769	1.523266128	1.451711508	1.453502949	1.311162152	1.411826372	1.624257069	1.719562405	1.757329687	1.776312371	1.694743427	1.563268339	1.590449824	1.66708557	1.768927346	1.892374179	1.927678956	2.058902825	1.863053909	1.84113002	1.794897365	1.653468763	1.626987843	1.886234724	1.978050802	1.925172164	2.074934215	2.124174449	1.983058918	1.983315054	1.93819634	1.824863889	1.688405776	1.70898047	1.46976814		
Gulf_of_Finland	HEAT	1		0.860134519	0.991417824	0.807192653	0.816823369	1.010910151	0.817824392	0.838597091	0.893911033	0.836717811	0.802346727	0.857581995	0.806970513	0.85083943	1.015899992							0.566705142	0.843974414	1.08458088	0.823925747	0.798297409	0.906633441	0.699548328	0.831154111	0.94380723	0.951156589	0.935195077	0.968054663	0.797476241	0.854439404	0.724172359	0.758443889	0.780985042	0.850693327	0.871958727								1.024942327	0.929080103					0.900754789	0.914664618	0.954973164	1.006726071	1.026674708	1.13732594	1.155849556	1.056723418	1.046016992	1.039826703	1.145313597	0.99291973	1.015224448	1.320773315	1.248206568	1.169590483	1.292625421	3.479656703	12.27794271	2.50519673	3.105817472	1.533024105	1.699441479	1.283041729	2.109825916	2.069128506	2.088574371	2.06934332	3.666167863	1.962857088	1.455727542	2.414218927	1.990074238	2.088933406	2.147936266	2.249859443	1.730301403	1.604237677	1.069078028	1.904151061	1.862700472	1.681457763	2.122928856	2.008925135	2.41187219	2.959342383	2.001757376	2.207996054	2.115268442	2.809396541	2.384089431	5.427588518	2.196564646	2.19173243	2.903081142	1.999320828	2.087588515	1.988548406	2.34404999	2.022610773
Gulf_of_Finland	HEAT	5	0.925776172	0.886248332	0.868892091	0.897295703	0.888833678	0.858269531	0.875613207	0.879592096	0.837879411	0.845830932	0.839505616	0.830891295	0.866727731	0.882822982	0.891236645	0.933369711					0.705339778	0.831753479	0.829796546	0.823496718	0.891482378	0.862597161	0.811911807	0.835888104	0.86645994	0.872172267	0.925873534	0.91913796	0.901264395	0.855867549	0.820517311	0.783103387	0.793746804	0.797250669	0.815520246	0.834545699	0.861326027						0.977011215	0.977011215	0.977011215	0.977011215			0.907709704	0.923464191	0.944279661	0.96075867	1.0080729	1.056309888	1.076659939	1.084518123	1.087148522	1.088746053	1.056160088	1.047860294	1.102811559	1.144487532	1.149342909	1.209284047	1.702170498	3.893604377	4.145002409	4.532247807	4.580327544	4.224284499	2.025304303	1.94623014	1.738892347	1.8500024	1.923982768	2.400607995	2.37121423	2.248534037	2.313662948	2.297809132	1.98236224	2.019378076	2.178204456	2.041420951	1.964253639	1.760282563	1.711525522	1.634093728	1.624325	1.728063236	1.916032657	2.017576883	2.236905265	2.300965188	2.317978628	2.339247289	2.418752159	2.303701569	2.988867797	2.986581516	3.001874313	3.020611233	2.943657513	2.275657512	2.234054264	2.264517776	2.088423702	2.110699421	2.118403056
Bothnian_Sea	HEAT	1						0.875370237	0.734266602	0.96227274	0.638067099	0.779503149										0.751900438			0.911276964	0.726112742	0.675390355	0.788979146	0.667037951	0.642669992	0.696730557	0.914310497	0.706981678	0.701036113	0.563750616	0.738854237	0.708862971	0.582887601	1.693383978			0.665390384																									1.055	0.844	0.9495	0.926341463			0.971908259	0.992941176	1.196333681	1.190595293	1.095231877	1.131935603	1.289875119	1.03122722	1.001861916	1.075037286	1.27273948	0.828032103	1.544759387	1.361894551	1.569040655	1.401398274	1.406539826	1.440616268	1.290757322	1.225698381	1.69105278	1.279498178	1.469623457	1.610228549	1.370114834	1.421449552	1.162271263	1.178172746	2.273515435	1.437356988	1.381449734	1.204962872	1.549613699	1.529374275	1.617283355	1.668476197	1.726318894	1.317314866	1.392635185	1.406792278	1.282745469	1.457405902	1.403014497
Bothnian_Sea	HEAT	5					0.80481842	0.857303193	0.80249417	0.797895965	0.778527397	0.793280996	0.708785124										0.831588701	0.796430048	0.770926687	0.775439801	0.753759431	0.700038037	0.6941616	0.741945628	0.725546135	0.732345767	0.716561892	0.724986628	0.683897123	0.659078308	0.85754788	0.930997197	0.99504485	0.980553987	1.179387181																									0.9495	0.9495	0.943710366	0.943710366	0.906613821	0.949249907	0.9637303	1.053727705	1.087944602	1.089402057	1.121407526	1.180794314	1.147773022	1.110026347	1.105987429	1.134148204	1.041779601	1.144486034	1.216492561	1.315293235	1.341024994	1.456726539	1.435897915	1.421670469	1.353002014	1.410932915	1.385524586	1.391326023	1.455220269	1.48410356	1.430182914	1.406737531	1.348447389	1.481104766	1.494553197	1.486553233	1.495091555	1.569379745	1.420551513	1.456536787	1.51394208	1.618213284	1.571753517	1.544405699	1.502307484	1.425161338	1.37137874	1.388518666	1.387489537	1.381055289
Bothnian_Bay	HEAT	1						0.903738085	0.762889249	0.819090543		0.694958979		0.582426041								0.697873211	1.378808881		0.66968303	0.602581405	0.555732242	0.848697506	0.68098735	0.668519715	0.674989143	0.724048036	0.725355101	0.82324532	0.810012824	0.807903857	0.777250471	0.676488521				0.767601212																										1.37	0.913333333	0.8990625			0.913333333	0.761111111	0.871818182	1.06072635	1.064511968	1.023976543	1.074009744	1.06230851	0.961968738	0.685068117	1.0275	2.256634047	6.862001212	0.942494479	2.17267629	1.376975155	1.369081449	1.92423113	1.193644542	1.231091961	0.962648108	1.636912047	1.395214318	1.441079548	1.045242368	1.066556847	0.809374588	0.975124821	0.887988539	1.507513058	1.051731129	1.016934005	1.601854543	1.195630131	1.070093558	1.077903235	1.120436569	1.241023436	1.402072372	1.068483111	1.0275	0.944645732	
Bothnian_Bay	HEAT	5					0.833313667	0.828572626	0.828572626	0.795169214	0.75897959	0.698825188	0.63869251	0.63869251							1.038341046	1.038341046	0.915455041	0.837236632	0.80170139	0.669173546	0.671536307	0.671303644	0.685785191	0.71944835	0.694779869	0.723231463	0.751530085	0.778113028	0.788753514	0.778980199	0.767913918	0.75388095	0.726869496	0.722044867																											1.141666667	1.060798611	1.060798611	1.060798611	0.908576389	0.857835648	0.848754209	0.901747244	0.934300189	0.956428831	1.019008557	1.057106623	1.037355101	0.96146633	0.962171022	1.198695882	2.358634423	2.354739571	2.652261206	2.722156237	2.544645717	1.557091701	1.607321713	1.419004848	1.336139438	1.389705558	1.283902195	1.333389197	1.296219278	1.317001026	1.151493534	1.067475635	0.956857433	1.049311571	1.046346427	1.08785831	1.213204255	1.274732573	1.187248673	1.192483095	1.213183607	1.141017386	1.182305834	1.181983744	1.171903097	1.13674493	1.110675304	1.013542948	0.986072866
Kattegat	C1	1																																																																							0.989524218	1.037523545	0.81191864	1.154349764	1.094334958	1.430797829	1.086002966	1.165993828	1.234275081	0.91051338	1.278318248	1.461968827	1.79619944	1.78604916	1.302443807	1.463358513	1.566103398	1.352182761	1.573372152	1.474805649	1.271055398	1.114169985	1.209028569	1.619439206	1.707599281	1.427849773	1.121925644	0.820082832	0.941455848	1.390273922	1.265084099	1.239784152	1.113677344	1.169809128	0.94292434	1.150869057	0.850259972	1.316302343	1.246606091	1.247311426	0.899470576	0.913030165	1.124476931
Kattegat	C1	5																																																																						1.013523881	0.946322134	0.998329042	1.017530225	1.105784947	1.115480831	1.186295869	1.202280932	1.165516617	1.1350207	1.210213873	1.336254995	1.446609811	1.524995896	1.562003949	1.582830864	1.494027528	1.451492126	1.485964495	1.447503872	1.357117189	1.328486351	1.337699762	1.384258488	1.415617363	1.417168495	1.339379347	1.203782675	1.140317604	1.107764469	1.13133617	1.190055073	1.235725729	1.146255812	1.123412804	1.045507968	1.086032968	1.101392361	1.162269778	1.111990082	1.12454412	1.086179038	1.046072274	0.978992557
