XCoord,YCoord,BASIN,SUBBASIN,BASINID,AREA_KM2
4669226.47292120,3462369.46072150,Bornholm Basin,Bornholm Basin,NULL,153.668200
4753083.47996218,3516533.70011139,Bornholm Basin,Bornholm Basin,NULL,38.813744
4772445.97153848,3527015.63899667,Bornholm Basin,Bornholm Basin,NULL,46.061238
4817014.47401753,3548019.10904064,Baltic Proper,Eastern Gotland Basin,NULL,141.170936
4857756.37044348,3555586.09288802,Baltic Proper,Gulf of Gdansk,NULL,17.461850
4616662.64310603,3438237.32060205,Baltic Proper,Gulf of Gdansk,NULL,58.791530
4727161.35316423,3492803.47385539,Bornholm Basin,Bornholm Basin,NULL,98.644279
4412549.77096895,3750111.86728981,Kattegat,Kattegat,1,15671.688010
4377565.54411031,3601901.92936009,Great Belt,Great Belt,2,1944.163057
4488833.50955438,3618801.07084355,The Sound,The Sound,2,601.993829
4362215.31272344,3499778.39934486,Kiel Bay,Kiel Bay,2,2757.356663
4429846.87376052,3469380.84334079,Bay of Mecklenburg,Bay of Mecklenburg,2,3476.931966
4545678.96197392,3541588.08556975,Arkona Basin,Arkona Basin,3,13110.248745
4693521.66857200,3579032.69942013,Bornholm Basin,Bornholm Basin,4,38835.966849
4914796.79945015,3753162.21125435,Baltic Proper,Eastern Gotland Basin,5,70748.616119
4919057.43439604,3550051.38482812,Baltic Proper,Gdansk Basin,5,3649.910054
4783946.21059911,3835401.85224882,Baltic Proper,Western Gotland Basin,5,21926.513554
4928018.63979541,4037452.44311721,Baltic Proper,Northern Baltic Proper,5,31569.968724
5115807.96150534,3911750.60894999,Gulf of Riga,Gulf of Riga,6,8673.868812
5230900.79221278,4191590.32706999,Gulf of Finland,Gulf of Finland,7,16590.281762
4837299.32099807,4134357.85545118,Gulf of Bothnia,Åland Sea,8,1252.229120
4817497.31910229,4328701.04314857,Gulf of Bothnia,Bothnian Sea,8,49581.480005
4883643.77918789,4548967.72711879,Gulf of Bothnia,The Quark,9,1772.957992
4932344.64595143,4672069.78700831,Gulf of Bothnia,Bothnian Bay,9,21346.629826
4432140.24524318,3816453.61620845, , ,NULL,884.695310
4484416.96932235,3709357.30553780, , ,NULL,1125.692381
4499219.63624448,3635591.82079867, , ,NULL,452.578180
4563113.45564969,3618193.94610105, , ,NULL,788.676447
4695795.73316781,3755812.99211425, , ,NULL,851.339844
4704459.01115722,3740043.46026148, , ,NULL,3040.077563
4818207.78773226,3827574.21932671, , ,NULL,1826.508158
4828355.32173656,3875259.08910702, , ,NULL,486.827723
4801827.14339460,4045368.63150262, , ,NULL,2228.265260
4721988.78163214,3902714.76791637, , ,NULL,1226.713883
4693652.28489802,3957879.46730391, , ,NULL,90.054609
4754974.63945528,3955160.38177458, , ,NULL,2291.594110
4841232.71159293,4071369.80863859, , ,NULL,2041.609197
4747007.33622728,4211563.80482267, , ,NULL,1372.638612
4754602.05984481,4211117.97943055, , ,NULL,2359.691645
4745295.30162998,4444041.71138370, , ,NULL,1127.256574
4746580.78208958,4411674.15766384, , ,NULL,1862.685933
4886691.58966229,4727522.95776877, , ,NULL,2206.220731
4885105.98031544,4674909.41865954, , ,NULL,5039.656622
4897418.66876026,4760195.95404034, , ,NULL,1878.357842
4905274.22341585,4735802.29181707, , ,NULL,3473.048282
4788269.55594698,4056482.17863172, , ,NULL,119.793916
4426744.55163820,3849478.67681204, , ,NULL,60.528196
4434070.72522053,3828591.43485066, , ,NULL,336.510290
5084642.97424879,4007884.93914756, , ,NULL,22.965658
5076577.17184495,4013116.31667468, , ,NULL,41.501923
4416064.24726480,3423103.31058128, ,Bay of Mecklenburg,NULL,1.535082
4410158.49393167,3429294.21291775, ,Bay of Mecklenburg,NULL,93.515216
4422568.83981661,3438996.85163353, ,Bay of Mecklenburg,NULL,37.229565
4459013.43331990,3450691.48163554, ,Bay of Mecklenburg,NULL,12.701245
4471665.35452988,3471359.44921999, ,Bay of Mecklenburg,NULL,82.578106
4479994.50166923,3471649.92068353, ,Arkona Basin,NULL,78.707999
4489956.71114794,3478891.65801648, ,Arkona Basin,NULL,33.189192
4504639.70348558,3480718.20787166, ,Arkona Basin,NULL,82.796153
4505816.92867680,3493144.95399339, ,Arkona Basin,NULL,461.200934
4590364.86503617,3441208.71871720, ,Bornholm Basin,NULL,39.899287
4581108.73171293,3440331.92803776, ,Bornholm Basin,NULL,82.551161
4572843.74620236,3438264.91148159, ,Bornholm Basin,NULL,87.173620
4570288.31428224,3466200.96913204, ,Arkona Basin,NULL,228.794112
4550226.45896146,3499060.66826251, ,Arkona Basin,NULL,390.453899
4548954.03071961,3488361.61316739, ,Arkona Basin,NULL,24.101969
4524298.52987307,3487320.11759958, ,Arkona Basin,NULL,168.439790
4552576.52944505,3463512.69796146, ,Arkona Basin,NULL,491.257003
4529222.24283387,3468880.71025279, ,Arkona Basin,NULL,66.291101
4415758.99703435,3441325.35496596, ,Bay of Mecklenburg,NULL,254.885854
4590935.02162447,3418842.05087472, ,Bornholm Basin,NULL,287.621715
4289304.70744618,3526549.22476290, ,Little Belt,NULL,20.469510
4308523.18000389,3522099.07695218, ,Little Belt,NULL,43.664122
4309165.62735622,3523546.55000446, ,Little Belt,NULL,64.161357
4322384.98067490,3511710.62255095, ,Kiel Bay,NULL,33.776887
4317409.36470230,3504674.82265796, ,Kiel Bay,NULL,21.153008
4323162.05246260,3491629.91930774, ,Kiel Bay,NULL,49.915812
4396193.85082283,3488486.19831171, ,Kiel Bay,NULL,68.656170
4322190.71853116,3488272.97338605, ,Kiel Bay,NULL,71.387788
4294886.22618870,3489528.74014666, ,Kiel Bay,NULL,8.307645
4334078.73260982,3482672.95559239, ,Kiel Bay,NULL,14.030313
4393820.94958847,3471808.89719969, ,Kiel Bay,NULL,257.748438
4335971.31790978,3481645.69426867, ,Kiel Bay,NULL,16.525620
4390442.08603801,3481596.73117515, ,Kiel Bay,NULL,12.498363
