Year	Chla	Secchi	DIN	PO4
1850	1.098714483	8.993432942	2.786704459	0.32234863
1851	1.032501805	9.109567382	2.629887673	0.309332257
1852	0.9819674	9.186651248	2.404259248	0.329951852
1853	1.068631907	9.045001846	2.250773353	0.308574264
1854	0.898927716	9.295824849	2.508843065	0.336036665
1855	0.978527797	9.173790173	2.094767874	0.291582103
1856	1.165124554	8.898176237	2.388499292	0.354546388
1857	1.175233577	8.880525788	2.29758596	0.296030126
1858	1.009757672	9.138382684	2.29535662	0.332156426
1859	1.175945898	8.887501354	2.337542228	0.321636206
1860	1.123712355	8.954926101	2.13576732	0.293940959
1861	1.096737293	8.996820899	2.405183761	0.304559285
1862	1.136299088	8.940397973	2.34822243	0.307519007
1863	1.158862048	8.902532908	2.684384412	0.337386749
1864	1.059025641	9.048487961	2.03758589	0.281480427
1865	1.021866937	9.104792583	2.32502701	0.295692394
1866	1.113556523	8.983780998	2.519525387	0.316168767
1867	0.895733686	9.295577275	2.541887647	0.302893245
1868	1.033621402	9.103313065	2.081797573	0.281682439
1869	1.110154099	8.968302823	2.10976045	0.288763336
1870	1.083790371	9.007894874	1.979259519	0.240507866
1871	0.905139934	9.299553404	2.273579005	0.303513837
1872	0.944243198	9.233466242	2.151028527	0.293544396
1873	0.992900328	9.156398733	2.432652618	0.303410469
1874	1.114279188	8.964252193	2.282113167	0.295304986
1875	0.970030362	9.208688649	2.132316125	0.259030847
1876	0.966243103	9.19721835	2.606106125	0.317775981
1877	0.927639064	9.260943628	2.355531087	0.298282704
1878	1.082095952	9.011091931	2.348689764	0.281428589
1879	0.965104161	9.198663932	2.113649905	0.28712097
1880	0.728096058	9.60707847	2.333099814	0.292740973
1881	1.080604515	9.019086085	1.982851979	0.290397238
1882	0.950798898	9.210219804	2.495051347	0.30253325
1883	0.912897471	9.295805712	2.607263728	0.321758051
1884	0.728517235	9.602743972	2.545689744	0.301901028
1885	0.947382192	9.223867987	1.732908416	0.266560721
1886	0.997648819	9.149526838	2.333755876	0.315468423
1887	1.117237484	8.967845015	2.46670309	0.326903613
1888	0.912664861	9.285733108	2.007369066	0.261438705
1889	0.959729524	9.196112448	2.520591005	0.310358356
1890	1.102598321	8.986356713	2.084083701	0.294986691
